image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;67;35;39;61;48;53;
img_02;69;45;46;61;59;63;
img_03;57;35;38;55;65;51;
img_04;80;50;57;73;78;64;
img_05;67;29;33;57;43;49;
img_06;57;52;53;68;65;62;
img_07;74;57;60;77;73;72;
img_08;85;53;60;79;80;72;
img_09;79;50;55;74;82;63;
img_10;77;50;52;68;67;63;
img_11;74;48;53;63;78;60;
img_12;87;50;59;81;81;72;
img_13;77;62;63;78;82;75;
img_14;72;52;57;78;76;68;
img_15;40;30;35;41;43;39;
